,pval,lpval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
65186|EGR3,3.25666212779352E-35,-34.4872272962851,Homo sapiens,EGR3,,HEK293,Epithelium,Embryonic Kidney,1,EGR3
32856|TERC,7.49368859324132E-31,-30.1253043583528,Homo sapiens,TERC,other,HeLa,Epithelium,Cervix,1,TERC
50715|GTF2I,3.19183662236921E-28,-27.495959346588,Homo sapiens,GTF2I,tf,None,Fibroblast,None,1,GTF2I
64657|ZMYM3,6.38843645725232E-28,-27.1946054205703,Homo sapiens,ZMYM3,,HepG2,Epithelium,Liver,1,ZMYM3
64556|IKZF2,1.44113370408343E-26,-25.8412957247711,Homo sapiens,IKZF2,tf,HEK293,Epithelium,Embryonic Kidney,1,IKZF2
46298|EGR1,1.78311987583361E-26,-25.7488194590327,Homo sapiens,EGR1,tf,K562,Erythroblast,Bone Marrow,1,EGR1
38299|MYC,8.62901872750639E-26,-25.0640385884632,Homo sapiens,MYC,tf,H128,Epithelium,Lung,1,MYC
65114|ZNF121,4.10020388407558E-25,-24.387194547298,Homo sapiens,ZNF121,,HEK293,Epithelium,Embryonic Kidney,1,ZNF121
55289|5MC,6.5221829551644E-24,-23.1856070228708,Homo sapiens,5MC,other,BicR,Epithelium,Prostate,1,5MC
37173|MAX,7.77835730757885E-24,-23.1091121109256,Homo sapiens,MAX,tf,H2171,Epithelium,Lung,1,MAX
65179|EGR2,8.41232661154892E-24,-23.0750838740219,Homo sapiens,EGR2,tf,HEK293,Epithelium,Embryonic Kidney,1,EGR2
65214|GLIS1,1.24106211539676E-23,-22.9062064814352,Homo sapiens,GLIS1,tf,HEK293,Epithelium,Embryonic Kidney,1,GLIS1
63844|ZBTB33,1.14552713679797E-22,-21.940994618197,Homo sapiens,ZBTB33,tf,HEK293,Epithelium,Embryonic Kidney,1,ZBTB33
65151|SP1,3.28584624559215E-22,-21.4833527623414,Homo sapiens,SP1,predicted chromatin regulator,HEK293,Epithelium,Embryonic Kidney,1,SP1
65118|ZNF768,5.01863541721593E-22,-21.299414352842,Homo sapiens,ZNF768,,HEK293,Epithelium,Embryonic Kidney,1,ZNF768
35298|ERG,5.27494346320071E-22,-21.2777821907699,Homo sapiens,ERG,other,SKNO-1,Myeloblast,Bone Marrow,1,ERG
62565|ZNF623,5.44545960807019E-22,-21.2639654590074,Homo sapiens,ZNF623,,HEK293,Epithelium,Embryonic Kidney,1,ZNF623
9510|TFAP2C,9.33708297274888E-22,-21.0297887818757,Homo sapiens,TFAP2C,predicted transcription factor,SKBR-3,None,Mammary Gland,1,TFAP2C
74909|POLR3D,1.02272212300662E-21,-20.9902423495117,Homo sapiens,POLR3D,tf,THP-1,Monocyte,None,0,POLR3D
64621|NRF1,1.03461362994233E-20,-19.9852218045179,Homo sapiens,NRF1,tf,K562,Erythroblast,Bone Marrow,1,NRF1
67683|ZBTB7A,1.55534476705309E-20,-19.8081733276452,Homo sapiens,ZBTB7A,predicted transcription factor,None,Proerythroblast,None,1,ZBTB7A
63582|ADNP,1.99732111269375E-20,-19.6995521072575,Homo sapiens,ADNP,tf,K562,Erythroblast,Bone Marrow,1,ADNP
65128|ZNF436,2.25046010533295E-20,-19.6477286815424,Homo sapiens,ZNF436,,HEK293,Epithelium,Embryonic Kidney,1,ZNF436
52241|ZTA,2.46508088972018E-20,-19.6081688251159,Homo sapiens,ZTA,other,Akata,B Lymphocyte,None,1,ZTA
33171|MED1,2.65516199821414E-20,-19.5759089763587,Homo sapiens,MED1,predicted transcription factor,H2171,Epithelium,Lung,1,MED1
45867|MAZ,3.86011326539738E-20,-19.4133999518528,Homo sapiens,MAZ,tf,IMR90,Fibroblast,Lung,1,MAZ
49464|552-SKD,5.31410219724142E-20,-19.2745700977859,Homo sapiens,552-SKD,other,MCF-7,Epithelium,Breast,1,552-SKD
46248|USF1,8.23257187640228E-20,-19.0844644688895,Homo sapiens,USF1,tf,HepG2,Epithelium,Liver,1,USF1
65164|ZNF770,1.37848818278681E-19,-18.8605969525705,Homo sapiens,ZNF770,,HEK293,Epithelium,Embryonic Kidney,1,ZNF770
45901|GTF3C2,1.73770203775644E-19,-18.7600246895973,Homo sapiens,GTF3C2,tf,K562,Erythroblast,Bone Marrow,1,GTF3C2
73701|KDM2B,3.02727884997901E-19,-18.5189475732854,Homo sapiens,KDM2B,cr,SEM,B Lymphocyte,None,1,KDM2B
45810|MXI1,5.42895202510592E-19,-18.2652839961273,Homo sapiens,MXI1,tf,HepG2,Epithelium,Liver,1,MXI1
35291|BRDU,6.15024854434412E-19,-18.211107333126,Homo sapiens,BRDU,other,HeLa-S3,Epithelium,Cervix,1,BRDU
56052|CREB1,7.71406188319369E-19,-18.11271688149,Homo sapiens,CREB1,tf,HepG2,Epithelium,Liver,1,CREB1
64776|SMARCA5,8.34031334650267E-19,-18.0788176325636,Homo sapiens,SMARCA5,cr,K562,Erythroblast,Bone Marrow,1,SMARCA5
63813|L3MBTL2,1.06888922587607E-18,-17.9710673004821,Homo sapiens,L3MBTL2,predicted chromatin regulator,K562,Erythroblast,Bone Marrow,1,L3MBTL2
37604|CBFB,1.22987543876596E-18,-17.9101388714841,Homo sapiens,CBFB,predicted transcription factor,ME-1,Leukemia Cell,None,1,CBFB
76529|MBTD1,1.27954913713954E-18,-17.892943031716,Homo sapiens,MBTD1,other,K562,Lymphoblast,None,1,MBTD1
37177|STAT4,1.63527080682915E-18,-17.7864103162926,Homo sapiens,STAT4,tf,None,Monocyte,Blood,1,STAT4
37608|MYH11,1.82932646945622E-18,-17.7377087815488,Homo sapiens,MYH11,not sure,ME-1,Leukemia Cell,None,1,MYH11
56053|ATF1,2.66169701586172E-18,-17.5748413823055,Homo sapiens,ATF1,tf,HepG2,Epithelium,Liver,1,ATF1
62715|TFAP4,2.80919173311303E-18,-17.5514186182953,Homo sapiens,TFAP4,,HepG2,Epithelium,Liver,1,TFAP4
64373|ZNF740,3.47780108239477E-18,-17.4586952616918,Homo sapiens,ZNF740,,K562,Erythroblast,Bone Marrow,1,ZNF740
73715|KMT2A,3.77272984054451E-18,-17.423344292854,Homo sapiens,KMT2A,not sure,SEM,B Lymphocyte,None,1,KMT2A
71040|ZNF143,3.83439237380546E-18,-17.4163034477805,Homo sapiens,ZNF143,predicted transcription factor,MCF-7,MCF 7 Cells,None,1,ZNF143
49949|KLF9,4.19219569293571E-18,-17.3775584525562,Homo sapiens,KLF9,tf,GBM1A,Glioblastoma Stem Cell,None,1,KLF9
53298|SPI1,4.55333327879167E-18,-17.3416705605763,Homo sapiens,SPI1,predicted transcription factor,TSU-1621-MT,None,None,1,SPI1
46297|E2F6,5.30533481919162E-18,-17.275287202613,Homo sapiens,E2F6,tf,K562,Erythroblast,Bone Marrow,1,E2F6
37185|IRF5,5.5348704881509E-18,-17.2568925368339,Homo sapiens,IRF5,tf,None,Monocyte,Blood,1,IRF5
8789|PHF8,6.3301039557389E-18,-17.1985891577499,Homo sapiens,PHF8,cr,K562,Erythroblast,Bone Marrow,1,PHF8
65110|SP4,6.34142447928635E-18,-17.1978131752405,Homo sapiens,SP4,tf,HEK293,Epithelium,Embryonic Kidney,1,SP4
45807|BHLHE40,7.32372070904027E-18,-17.1352682259262,Homo sapiens,BHLHE40,predicted transcription factor,HepG2,Epithelium,Liver,1,BHLHE40
4631|KAT5,8.63615782585131E-18,-17.0636794295303,Homo sapiens,KAT5,cr,None,T Lymphocyte,Blood,1,KAT5
63518|MTA2,1.12422274448525E-17,-16.9491476326132,Homo sapiens,MTA2,tf,K562,Erythroblast,Bone Marrow,1,MTA2
64564|BCOR,1.13986417523286E-17,-16.9431468955593,Homo sapiens,BCOR,both predicted transcription factor and chromatin regulator,K562,Erythroblast,Bone Marrow,1,BCOR
46239|HNF4G,1.1697445664258E-17,-16.9319089634701,Homo sapiens,HNF4G,predicted transcription factor,HepG2,Epithelium,Liver,1,HNF4G
63772|NR2F6,1.19346728958667E-17,-16.923189479587,Homo sapiens,NR2F6,tf,HepG2,Epithelium,Liver,1,NR2F6
76964|CNOT3,1.25349349633988E-17,-16.9018779150054,Homo sapiens,CNOT3,tf,HCT-116,Colorectal cancer cell line,None,1,CNOT3
56819|TFAP2A,1.31054694340662E-17,-16.882547418138,Homo sapiens,TFAP2A,predicted transcription factor,None,Neural crest cell,Cranial,1,TFAP2A
37596|TAL1,1.56790103616989E-17,-16.8046813528772,Homo sapiens,TAL1,tf,ME-1,Leukemia Cell,None,1,TAL1
77366|TIAM1,1.58692841387933E-17,-16.7994426637671,Homo sapiens,TIAM1,other,SW480,Epithelium,Colon,1,TIAM1
7301|ATF3,1.9540361864744E-17,-16.7090673979148,Homo sapiens,ATF3,predicted transcription factor,HepG2,Epithelium,Liver,1,ATF3
57115|LEF1,2.12770352230003E-17,-16.6720888874669,Homo sapiens,LEF1,tf,RL95-2,None,Uterus,1,LEF1
58506|WDR5,2.53608886414916E-17,-16.5958355329143,Homo sapiens,WDR5,cr,BE2-C,Neuroblast,Brain,1,WDR5
68119|KDM1A,3.37734689216541E-17,-16.4714243300616,Homo sapiens,KDM1A,cr,SKNO-1,Myeloblast,Bone Marrow,1,KDM1A
45949|IRF1,3.9839641782237E-17,-16.3996845751855,Homo sapiens,IRF1,tf,K562,Erythroblast,Bone Marrow,1,IRF1
32899|RELA,4.21890098894087E-17,-16.3748006667161,Homo sapiens,RELA,tf,None,Endothelial Cell,Umbilical Vein,1,RELA
4118|HDAC1,4.83100269725282E-17,-16.3159627200375,Homo sapiens,HDAC1,cr,None,T Lymphocyte,Blood,1,HDAC1
64270|H2AFZ,5.04314227995185E-17,-16.2972987791091,Homo sapiens,H2AFZ,,MM.1S,B Lymphoblast,Blood,1,H2AFZ
65197|KLF15,7.66491733669937E-17,-16.1154925244898,Homo sapiens,KLF15,tf,HEK293,Epithelium,Embryonic Kidney,1,KLF15
68455|USF2,8.41218561234857E-17,-16.0750911533027,Homo sapiens,USF2,tf,None,Erythroid Cell,None,0,USF2
51591|SRF,8.46619449775816E-17,-16.0723117585016,Homo sapiens,SRF,tf,HUES64,Embryonic Stem Cell,Embryo,1,SRF
76495|BRPF3,1.18433028457781E-16,-15.926527165209,Homo sapiens,BRPF3,other,RKO,Epithelium,Colon,1,BRPF3
65188|KLF1,1.27059870709396E-16,-15.8959915909197,Homo sapiens,KLF1,predicted transcription factor,HEK293,Epithelium,Embryonic Kidney,1,KLF1
45800|NR2C2,1.30633666477061E-16,-15.8839448836965,Homo sapiens,NR2C2,tf,HepG2,Epithelium,Liver,1,NR2C2
35309|FLI1,1.45053936079709E-16,-15.8384704819974,Homo sapiens,FLI1,tf,SKNO-1,Myeloblast,Bone Marrow,1,FLI1
39035|BRD4,1.59598422269957E-16,-15.7969714062362,Homo sapiens,BRD4,cr,H2171,Epithelium,Lung,1,BRD4
63407|POLR2AphosphoS5,1.71952390789173E-16,-15.7645917814626,Homo sapiens,POLR2AphosphoS5,,None,iPSC,None,1,POLR2AphosphoS5
62818|ZFP3,1.72606174924936E-16,-15.7629436716112,Homo sapiens,ZFP3,,HEK293,Epithelium,Embryonic Kidney,1,ZFP3
48827|MBD2,1.86095180654873E-16,-15.730264873737,Homo sapiens,MBD2,cr,MCF-7,Epithelium,Breast,1,MBD2
65018|ZNF18,1.98935016471939E-16,-15.7012887657843,Homo sapiens,ZNF18,,HEK293,Epithelium,Embryonic Kidney,1,ZNF18
45890|HCFC1,2.17353822070667E-16,-15.6628327185299,Homo sapiens,HCFC1,tf,K562,Erythroblast,Bone Marrow,1,HCFC1
65084|SP2,2.28072346300184E-16,-15.6419273695997,Homo sapiens,SP2,predicted chromatin regulator,HEK293,Epithelium,Embryonic Kidney,1,SP2
56045|GABPA,3.12805262044702E-16,-15.504725949801,Homo sapiens,GABPA,tf,HepG2,Epithelium,Liver,1,GABPA
59344|EBF1,3.47068425119016E-16,-15.4595848948861,Homo sapiens,EBF1,tf,MutuI,B Lymphocyte,None,1,EBF1
44316|E2F1,4.3277942620136E-16,-15.3637333932333,Homo sapiens,E2F1,tf,LNCaP,Epithelium,Prostate,1,E2F1
49446|HIF1A,4.41559558997935E-16,-15.3550107090748,Homo sapiens,HIF1A,predicted chromatin regulator,T47D,Epithelium,Mammary Gland,1,HIF1A
7341|HEY1,4.57177938000271E-16,-15.3399147354857,Homo sapiens,HEY1,tf,HepG2,Epithelium,Liver,1,HEY1
48755|CBX8,4.70320940171178E-16,-15.3276056846638,Homo sapiens,CBX8,cr,PC-3,Epithelium,Prostate,1,CBX8
69866|CDK9,4.82361622375919E-16,-15.3166272528028,Homo sapiens,CDK9,tf,None,Th1,None,1,CDK9
62841|SP3,4.89380713924613E-16,-15.3103531498211,Homo sapiens,SP3,tf,HEK293,Epithelium,Embryonic Kidney,1,SP3
2094|NFYA,5.38952466715876E-16,-15.2684495360253,Homo sapiens,NFYA,tf,K562,Erythroblast,Bone Marrow,1,NFYA
49036|ERCC6,5.8695970151689E-16,-15.2313917147824,Homo sapiens,ERCC6,predicted chromatin regulator,None,Fibroblast,Skin,1,ERCC6
46226|YY1,6.36797260817326E-16,-15.1959988133836,Homo sapiens,YY1,tf,HepG2,Epithelium,Liver,1,YY1
56817|NR2F1,6.79490212718299E-16,-15.1678167944032,Homo sapiens,NR2F1,tf,None,Neural crest cell,Cranial,1,NR2F1
64866|ZFX,8.48559208528811E-16,-15.0713178492329,Homo sapiens,ZFX,predicted transcription factor,K562,Erythroblast,Bone Marrow,1,ZFX
65119|PATZ1,8.82714677073451E-16,-15.0541796522514,Homo sapiens,PATZ1,tf,HEK293,Epithelium,Embryonic Kidney,1,PATZ1
63118|ZNF83,1.02858558396487E-15,-14.9877595667818,Homo sapiens,ZNF83,tf,K562,Erythroblast,Bone Marrow,1,ZNF83
77300|TRIM25,1.27212904351927E-15,-14.8954688320478,Homo sapiens,TRIM25,,BT-549,None,Breast,1,TRIM25
62551|TFDP1,1.31862273449046E-15,-14.8798794408184,Homo sapiens,TFDP1,tf,K562,Erythroblast,Bone Marrow,1,TFDP1
37587|GATA2,1.32497688594993E-15,-14.877791697872,Homo sapiens,GATA2,tf,ME-1,Leukemia Cell,None,0,GATA2
74202|BRD2,1.72765266823547E-15,-14.7625435647685,Homo sapiens,BRD2,predicted chromatin regulator,None,None,Pontine,1,BRD2
65127|ZNF281,1.86410954180478E-15,-14.7295285705209,Homo sapiens,ZNF281,tf,HEK293,Epithelium,Embryonic Kidney,1,ZNF281
46266|ELF1,2.0006562486483E-15,-14.6988275251268,Homo sapiens,ELF1,tf,K562,Erythroblast,Bone Marrow,1,ELF1
68487|RBPJ,2.27818186478916E-15,-14.6424116096152,Homo sapiens,RBPJ,tf,None,None,None,1,RBPJ
37602|TCF12,2.7623426878671E-15,-14.5587224451572,Homo sapiens,TCF12,tf,ME-1,Leukemia Cell,None,1,TCF12
46333|FOXP2,3.44169137633799E-15,-14.4632280763567,Homo sapiens,FOXP2,tf,PFSK-1,Neuron,Brain,1,FOXP2
64303|E2F5,3.66373598126302E-15,-14.4360758303131,Homo sapiens,E2F5,,K562,Erythroblast,Bone Marrow,1,E2F5
74688|GRHL3,4.32986979603811E-15,-14.3635251631645,Homo sapiens,GRHL3,predicted transcription factor,NHEK,Keratinocyte,Skin,1,GRHL3
70121|ASCL1,4.32986979603811E-15,-14.3635251631645,Homo sapiens,ASCL1,tf,NCI-H2107,None,None,1,ASCL1
63321|ELK1,4.32986979603811E-15,-14.3635251631645,Homo sapiens,ELK1,tf,K562,Erythroblast,Bone Marrow,1,ELK1
63957|ZNF197,4.71844785465692E-15,-14.3262008401407,Homo sapiens,ZNF197,,K562,Erythroblast,Bone Marrow,1,ZNF197
37584|TBP,5.16253706450698E-15,-14.2871368173011,Homo sapiens,TBP,tf,ME-1,Leukemia Cell,None,1,TBP
53300|RARA,5.77315972805081E-15,-14.2385864265562,Homo sapiens,RARA,tf,TSU-1621-MT,None,None,1,RARA
55576|PAX5,5.77315972805081E-15,-14.2385864265562,Homo sapiens,PAX5,tf,None,B Lymphocyte,None,1,PAX5
69615|CDK7,7.49400541621981E-15,-14.12528599736,Homo sapiens,CDK7,predicted transcription factor,Jurkat,T Lymphocyte,Blood,1,CDK7
37619|RUNX1,9.2148511043888E-15,-14.0355116778149,Homo sapiens,RUNX1,tf,ME-1,Leukemia Cell,None,1,RUNX1
69201|TRIM24,1.00475183728577E-14,-13.9979411909858,Homo sapiens,TRIM24,both predicted transcription factor and chromatin regulator,LNCaP,Epithelium,Prostate,1,TRIM24
37123|HSF1,1.15463194561016E-14,-13.9375564308922,Homo sapiens,HSF1,tf,NCI-H838,Epithelium,Lung,1,HSF1
45690|BACH1,1.27675647831893E-14,-13.8938919298374,Homo sapiens,BACH1,tf,H1,Embryonic Stem Cell,Embryo,1,BACH1
77255|DPF1,1.27675647831893E-14,-13.8938919298374,Homo sapiens,DPF1,other,MCF-7,None,None,1,DPF1
43050|BRD3,1.42663658664333E-14,-13.8456866425237,Homo sapiens,BRD3,predicted chromatin regulator,MM1.S,B Lymphocyte,Blood,1,BRD3
72366|TCF4,1.44884104713583E-14,-13.8389792585167,Homo sapiens,TCF4,tf,Gen2.2,Plasmacytoid dendritic cell,None,1,TCF4
63068|ZBTB40,1.50990331349021E-14,-13.8210508618208,Homo sapiens,ZBTB40,,K562,Erythroblast,Bone Marrow,1,ZBTB40
1203|CTCF,1.50990331349021E-14,-13.8210508618208,Homo sapiens,CTCF,tf,HeLa,Epithelium,Cervix,1,CTCF
73987|CD34,1.53210777398272E-14,-13.8147106837898,Homo sapiens,CD34,other,None,None,Thymus,1,CD34
46108|TAF1,1.63757896132211E-14,-13.7857977498768,Homo sapiens,TAF1,tf,GM12878,B Lymphocyte,Blood,1,TAF1
44877|5HMC,1.64868119156836E-14,-13.7828633165378,Homo sapiens,5HMC,other,None,Erythroid Cell,None,1,5HMC
64291|ZBTB11,2.06501482580279E-14,-13.6850768259731,Homo sapiens,ZBTB11,,K562,Erythroblast,Bone Marrow,1,ZBTB11
63793|RAD51,2.10387263166467E-14,-13.6769805558869,Homo sapiens,RAD51,predicted chromatin regulator,K562,Erythroblast,Bone Marrow,1,RAD51
38831|KLF5,2.17048601314218E-14,-13.6634430084591,Homo sapiens,KLF5,tf,LoVo,None,Colon,1,KLF5
55779|CTCFL,2.38142838782096E-14,-13.6231624736703,Homo sapiens,CTCFL,predicted transcription factor,Ovcar8,None,None,1,CTCFL
64648|ZNF639,2.40363284831346E-14,-13.6191318695016,Homo sapiens,ZNF639,tf,K562,Erythroblast,Bone Marrow,1,ZNF639
54086|ESR1,2.82551759767102E-14,-13.5489019835182,Homo sapiens,ESR1,tf,MCF-7,Epithelium,Breast,1,ESR1
48354|PRKDC,2.91433543964104E-14,-13.535460462449,Homo sapiens,PRKDC,other,None,Fibroblast,None,1,PRKDC
49481|RPE,3.10307335382731E-14,-13.5082079579686,Homo sapiens,RPE,other,None,Retinal pigment cell,None,1,RPE
45606|FOS,3.29181126801359E-14,-13.4825650724907,Homo sapiens,FOS,tf,GM12878,B Lymphocyte,Blood,1,FOS
45876|TBL1XR1,3.3362201889986E-14,-13.4767452938522,Homo sapiens,TBL1XR1,predicted chromatin regulator,K562,Erythroblast,Bone Marrow,1,TBL1XR1
76403|RELB,3.45834472170736E-14,-13.4611317191958,Homo sapiens,RELB,tf,GM12878,Lymphoblastoid,None,1,RELB
55669|PAF1,3.61377594515488E-14,-13.4420387772868,Homo sapiens,PAF1,not sure,HCT-116,None,Colon,1,PAF1
